countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date
Argentina,Año Nuevo [New Year's Day],Año Nuevo [New Year's Day],,AR,2020-01-01
Australia,New Year's Day,New Year's Day,,AU,2020-01-01
Austria,Neujahr,Neujahr,,AT,2020-01-01
Belarus,Новый год,Новый год,,BY,2020-01-01
Belgium,Nieuwjaarsdag,Nieuwjaarsdag,,BE,2020-01-01
Brazil,Ano novo,Ano novo,,BR,2020-01-01
Canada,New Year's Day,New Year's Day,,CA,2020-01-01
Colombia,Año Nuevo [New Year's Day],Año Nuevo [New Year's Day],,CO,2020-01-01
Croatia,Nova Godina,Nova Godina,,HR,2020-01-01
Czech,Den obnovy samostatného českého státu,Den obnovy samostatného českého státu,,CZ,2020-01-01
Denmark,Nytårsdag,Nytårsdag,,DK,2020-01-01
England,New Year's Day,New Year's Day,,,2020-01-01
Finland,Uudenvuodenpäivä,Uudenvuodenpäivä,,FI,2020-01-01
France,Jour de l'an,Jour de l'an,,FR,2020-01-01
Germany,Neujahr,Neujahr,,DE,2020-01-01
Hungary,Újév,Újév,,HU,2020-01-01
Ireland,New Year's Day,New Year's Day,,IE,2020-01-01
Isle of Man,New Year's Day,New Year's Day,,IM,2020-01-01
Italy,Capodanno,Capodanno,,IT,2020-01-01
Japan,元日,元日,,JP,2020-01-01
Mexico,Año Nuevo [New Year's Day],Año Nuevo [New Year's Day],,MX,2020-01-01
Netherlands,Nieuwjaarsdag,Nieuwjaarsdag,,NL,2020-01-01
New Zealand,New Year's Day,New Year's Day,,NZ,2020-01-01
Northern Ireland,New Year's Day,New Year's Day,,,2020-01-01
Norway,Første nyttårsdag,Første nyttårsdag,,NO,2020-01-01
Poland,Nowy Rok,Nowy Rok,,PL,2020-01-01
Portugal,Ano Novo,Ano Novo,,PT,2020-01-01
Scotland,New Year's Day,New Year's Day,,,2020-01-01
Slovenia,novo leto,novo leto,,SI,2020-01-01
South Africa,New Year's Day,New Year's Day,,ZA,2020-01-01
Spain,Año nuevo,Año nuevo,,ES,2020-01-01
Sweden,Nyårsdagen,Nyårsdagen,,SE,2020-01-01
Switzerland,Neujahrestag,Neujahrestag,,CH,2020-01-01
Ukraine,Новий рік,Новий рік,,UA,2020-01-01
United Kingdom,New Year's Day,New Year's Day,True,GB,2020-01-01
United States,New Year's Day,New Year's Day,True,US,2020-01-01
Wales,New Year's Day,New Year's Day,,,2020-01-01
Belarus,Новый год,Новый год,,BY,2020-01-02
New Zealand,Day after New Year's Day,Day after New Year's Day,,NZ,2020-01-02
Scotland,New Year Holiday,New Year Holiday,,,2020-01-02
Slovenia,novo leto,novo leto,,SI,2020-01-02
United Kingdom,New Year Holiday [Scotland],New Year Holiday,True,GB,2020-01-02
Norway,Søndag,Søndag,,NO,2020-01-05
Sweden,Söndag,Söndag,,SE,2020-01-05
Austria,Heilige Drei Könige,Heilige Drei Könige,,AT,2020-01-06
Colombia,Día de los Reyes Magos [Epiphany],Día de los Reyes Magos [Epiphany],,CO,2020-01-06
Croatia,Sveta tri kralja,Sveta tri kralja,,HR,2020-01-06
Finland,Loppiainen,Loppiainen,,FI,2020-01-06
Italy,Epifania del Signore,Epifania del Signore,,IT,2020-01-06
Poland,Święto Trzech Króli,Święto Trzech Króli,,PL,2020-01-06
Spain,Epifanía del Señor,Epifanía del Señor,,ES,2020-01-06
Sweden,Trettondedag jul,Trettondedag jul,,SE,2020-01-06
Belarus,Рождество Христово (православное Рождество),Рождество Христово (православное Рождество),,BY,2020-01-07
Ukraine,Різдво Христове (православне),Різдво Христове (православне),,UA,2020-01-07
Norway,Søndag,Søndag,,NO,2020-01-12
Sweden,Söndag,Söndag,,SE,2020-01-12
Japan,成人の日,成人の日,,JP,2020-01-13
India,Makar Sankranti / Pongal,Makar Sankranti / Pongal,False,IN,2020-01-14
Norway,Søndag,Søndag,,NO,2020-01-19
Sweden,Söndag,Söndag,,SE,2020-01-19
United States,Martin Luther King Jr. Day,Martin Luther King Jr. Day,,US,2020-01-20
Australia,Australia Day,Australia Day,,AU,2020-01-26
India,Republic Day,Republic Day,True,IN,2020-01-26
Norway,Søndag,Søndag,,NO,2020-01-26
Sweden,Söndag,Söndag,,SE,2020-01-26
Australia,Australia Day (Observed),Australia Day,,AU,2020-01-27
Norway,Søndag,Søndag,,NO,2020-02-02
Sweden,Söndag,Söndag,,SE,2020-02-02
Mexico,Día de la Constitución [Constitution Day] (Observed),Día de la Constitución [Constitution Day],,MX,2020-02-03
Mexico,Día de la Constitución [Constitution Day],Día de la Constitución [Constitution Day],,MX,2020-02-05
New Zealand,Waitangi Day,Waitangi Day,,NZ,2020-02-06
Slovenia,Prešernov dan,Prešernov dan,,SI,2020-02-08
Norway,Søndag,Søndag,,NO,2020-02-09
Sweden,Söndag,Söndag,,SE,2020-02-09
Japan,建国記念の日,建国記念の日,,JP,2020-02-11
Norway,Søndag,Søndag,,NO,2020-02-16
Sweden,Söndag,Söndag,,SE,2020-02-16
Canada,Family Day,Family Day,,CA,2020-02-17
United States,Washington's Birthday,Washington's Birthday,True,US,2020-02-17
Japan,天皇誕生日,天皇誕生日,,JP,2020-02-23
Norway,Søndag,Søndag,,NO,2020-02-23
Sweden,Söndag,Söndag,,SE,2020-02-23
Argentina,Día de Carnaval [Carnival's Day],Día de Carnaval [Carnival's Day],,AR,2020-02-24
Japan,振替休日,振替休日,,JP,2020-02-24
Argentina,Día de Carnaval [Carnival's Day],Día de Carnaval [Carnival's Day],,AR,2020-02-25
Brazil,Carnaval,Carnaval,,BR,2020-02-25
Brazil,Quarta-feira de cinzas (Início da Quaresma),Quarta-feira de cinzas (Início da Quaresma),,BR,2020-02-26
Norway,Søndag,Søndag,,NO,2020-03-01
Sweden,Söndag,Söndag,,SE,2020-03-01
Belarus,День женщин,День женщин,,BY,2020-03-08
Norway,Søndag,Søndag,,NO,2020-03-08
Sweden,Söndag,Söndag,,SE,2020-03-08
Ukraine,Міжнародний жіночий день,Міжнародний жіночий день,,UA,2020-03-08
Hungary,Nemzeti ünnep,Nemzeti ünnep,,HU,2020-03-15
Norway,Søndag,Søndag,,NO,2020-03-15
Sweden,Söndag,Söndag,,SE,2020-03-15
Mexico,Natalicio de Benito Juárez [Benito Juárez's birthday] (Observed),Natalicio de Benito Juárez [Benito Juárez's birthday],,MX,2020-03-16
Ireland,St. Patrick's Day,St. Patrick's Day,,IE,2020-03-17
Northern Ireland,St. Patrick's Day,St. Patrick's Day,,,2020-03-17
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,False,GB,2020-03-17
Japan,春分の日,春分の日,,JP,2020-03-20
Mexico,Natalicio de Benito Juárez [Benito Juárez's birthday],Natalicio de Benito Juárez [Benito Juárez's birthday],,MX,2020-03-21
South Africa,Human Rights Day,Human Rights Day,,ZA,2020-03-21
Norway,Søndag,Søndag,,NO,2020-03-22
Sweden,Söndag,Söndag,,SE,2020-03-22
Colombia,Día de San José [Saint Joseph's Day](Observed),Día de San José [Saint Joseph's Day],,CO,2020-03-23
Argentina,Día Nacional de la Memoria por la Verdad y la Justicia [Memory's National Day for the Truth and Justice],Día Nacional de la Memoria por la Verdad y la Justicia [Memory's National Day for the Truth and Justice],,AR,2020-03-24
Norway,Søndag,Søndag,,NO,2020-03-29
Sweden,Söndag,Söndag,,SE,2020-03-29
Argentina,Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Day and the Fallen in the Malvinas War],Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Day and the Fallen in the Malvinas War],,AR,2020-04-02
Denmark,Palmesøndag,Palmesøndag,,DK,2020-04-05
Norway,Søndag,Søndag,,NO,2020-04-05
Sweden,Söndag,Söndag,,SE,2020-04-05
Argentina,Semana Santa (Jueves Santo)  [Holy day (Holy Thursday)],Semana Santa (Jueves Santo)  [Holy day (Holy Thursday)],,AR,2020-04-09
Colombia,Jueves Santo [Maundy Thursday],Jueves Santo [Maundy Thursday],,CO,2020-04-09
Denmark,Skærtorsdag,Skærtorsdag,,DK,2020-04-09
Norway,Skjærtorsdag,Skjærtorsdag,,NO,2020-04-09
Argentina,Semana Santa (Viernes Santo)  [Holy day (Holy Friday)],Semana Santa (Viernes Santo)  [Holy day (Holy Friday)],,AR,2020-04-10
Australia,Good Friday,Good Friday,,AU,2020-04-10
Brazil,Sexta-feira Santa,Sexta-feira Santa,,BR,2020-04-10
Canada,Good Friday,Good Friday,,CA,2020-04-10
Colombia,Viernes Santo [Good Friday],Viernes Santo [Good Friday],,CO,2020-04-10
Czech,Velký pátek,Velký pátek,,CZ,2020-04-10
Denmark,Langfredag,Langfredag,,DK,2020-04-10
England,Good Friday,Good Friday,,,2020-04-10
Finland,Pitkäperjantai,Pitkäperjantai,,FI,2020-04-10
Germany,Karfreitag,Karfreitag,,DE,2020-04-10
Hungary,Nagypéntek,Nagypéntek,,HU,2020-04-10
Isle of Man,Good Friday,Good Friday,,IM,2020-04-10
Netherlands,Goede Vrijdag,Goede Vrijdag,,NL,2020-04-10
New Zealand,Good Friday,Good Friday,,NZ,2020-04-10
Northern Ireland,Good Friday,Good Friday,,,2020-04-10
Norway,Langfredag,Langfredag,,NO,2020-04-10
Portugal,Sexta-feira Santa,Sexta-feira Santa,,PT,2020-04-10
Scotland,Good Friday,Good Friday,,,2020-04-10
